384725	218168	21852	741713	890248	407044	92382	805977	463537	755563
920779	747423	388115	367306	838816	312582	539775	431648	266359	303801
566573	780589	642136	999052	738738	944410	164145	183948	453136	803717
895060	319561	448516	990219	968574	24074	762393	468318	323379	366293
16530	837057	903967	725825	616939	421126	46010	489569	53646	300822
902980	412072	364056	773886	596922	153612	941236	756539	340236	854601
724587	410771	112904	7936	96854	278713	287250	745562	84841	24948
563968	807680	129465	47697	876431	497262	216799	342303	619836	784208
738213	418356	91383	498976	701887	93755	889361	541300	874057	185765
898873	293603	858360	460070	836375	639432	199736	390014	764897	911955
969180	926246	711337	306505	456727	418606	195744	905359	900003	883731
164521	913343	95113	425651	797237	656332	843108	730720	349247	346572
687619	509667	856996	966835	582337	58214	376208	733005	410586	688142
972952	954203	24783	404538	685350	109206	96390	527328	760202	110536
938116	470800	961829	742367	503005	144403	25355	240960	876908	300822
557046	275785	908588	68669	238124	499204	944990	194026	503918	532599
204040	645712	382047	183408	986644	857471	783810	763995	402079	693377
538461	32288	272384	252639	832771	371434	407072	581174	105800	677978
926458	39448	923610	949981	642437	82183	706871	989579	139154	675912
519329	874639	203882	361367	103363	244346	989258	752952	578260	808678
266962	310090	234531	813159	697501	559156	158751	51826	416109	161235
478782	640245	377088	528276	741222	281002	944632	285191	842846	362196
503627	960050	354627	29751	432661	950177	74029	299222	131291	664367
26405	705133	637833	602439	772665	799357	804528	865595	771917	527163
295371	322883	474055	626920	7013	31465	647884	491692	952782	666881
130048	683036	814777	210954	587251	761961	271512	808662	218751	12062
6520	271948	333794	927129	701710	811359	791395	972857	421476	474492
606590	804673	225490	996074	5819	921700	35596	375159	657908	959842
117858	220893	216617	178906	501507	84566	247814	940442	58487	249384
160015	272370	242549	287501	442603	610561	162335	169344	845686	790224
276111	808698	978706	551627	131992	426766	66775	133035	738895	80802
551409	31588	474637	250887	332617	828512	738685	221390	972646	404412
747532	641883	892995	74816	926667	501861	293116	39056	962613	276639
886068	794511	599089	386184	688135	708744	617987	384730	223231	499378
889240	615295	853524	140150	36730	842527	732651	886360	499004	699502
987981	404454	736897	425022	27700	367266	171054	713803	489040	491189
3597	968162	537854	661519	751244	216907	549139	461384	248263	61509
540129	332196	597284	171589	76238	486087	412816	900348	857190	165247
439223	451736	802213	621029	793520	194569	137237	413331	296389	430466
455087	966899	26707	44032	407155	900528	890931	855936	559633	82569
941502	762348	18000	121903	420870	240132	534209	914269	34016	261348
546101	208289	422539	769901	99750	308559	990722	873574	923423	71472
973739	703773	155303	259960	259547	146346	452677	286690	273105	191474
209714	244171	181830	357158	256410	748672	873626	884495	839409	823247
615712	197913	178487	733000	278204	829280	850823	168865	832032	264094
485031	267372	542184	359210	678039	726502	731936	398421	428110	822005
493430	789182	487484	479983	359527	459455	390489	113225	10335	860106
391014	101698	201754	386732	167915	235092	558280	356545	268804	648234
616455	589720	52487	257832	943884	728852	872687	193882	652415	441634
180925	726375	797559	110741	174261	751957	839588	199219	664904	877098
235528	84053	312821	681780	868668	897694	889173	759165	367788	847945
719186	632400	53009	259294	756429	423977	757303	995914	340998	594288
541814	98304	789691	385566	706654	768709	578703	546799	173846	608771
219686	193134	172151	846000	678864	396175	885402	705983	206283	364599
914269	309228	80144	707070	31607	616991	505801	998463	971019	861868
964228	793558	936854	114268	862189	621016	389924	807886	73408	222080
817254	584902	388961	198867	792082	152699	733929	734123	819577	264507
675039	328422	556924	530876	930964	23551	67924	435494	773738	466619
947484	551251	228600	511377	925806	113155	595214	352572	519230	826990
684023	510976	97815	166802	312252	126431	342014	239720	952810	634072
680486	624207	999835	767519	219985	141109	654246	786380	875012	96123
809830	287897	998197	690023	227640	214445	118623	692223	955411	257754
827703	789427	703946	907172	754884	674139	484801	694982	556693	793652
775234	738746	770612	533937	562634	378196	966722	308765	908456	658775
335371	607065	902385	243545	89081	110151	836591	946227	405347	844240
344173	403963	804141	738277	823344	571302	172471	31077	667350	800111
308118	577682	920587	171023	354372	563835	752742	326298	994966	429194
154452	839619	772397	542366	502691	137000	172737	901856	296587	660855
192959	771173	513462	828188	216212	237770	381871	649356	820647	663362
6875	838765	650017	291466	221173	269324	909081	300629	201578	961843
587574	428030	69341	815092	419311	422290	387573	624940	223608	66127
812815	706748	759882	646422	429658	351789	315331	314670	903409	154270
927394	406174	308045	827074	693463	384165	235339	600273	194335	318465
873753	437293	243605	591506	875841	207321	829652	928977	336815	124294
68152	970472	755368	215420	589260	587138	621585	243918	11134	959319
556401	933889	537131	478118	956994	699475	842606	55455	75387	188209
269610	198056	412555	135017	569526	759385	150929	428923	379808	795561
388172	46883	673827	792358	587724	953710	688955	234342	167590	501942
839346	707007	10332	569207	622747	646381	942475	474209	971385	228620
584204	169444	235700	693749	194968	368084	743316	69147	778429	355921
363491	996398	296768	310771	196348	756438	113301	129338	626177	840958
