538	1175	2755	2202	3309	1951	3175	1033	4028	3119
4884	458	803	3913	436	1645	2433	56	3247	2416
5	1778	3328	2294	1254	400	4260	1580	1478	201
3018	3634	3167	2880	4834	3376	2311	1926	4384	4298
3594	4954	4563	4378	4319	3900	995	4932	4071	2771
2357	3152	2064	2715	1651	3470	3546	4630	1957	4098
4100	3387	1324	3896	4040	3024	170	4058	1492	1145
3427	2783	4905	4933	1883	606	4336	3880	1284	2459
2876	4838	4692	1823	464	4917	2400	2989	97	1413
1804	2643	110	3844	2658	4446	3020	2710	2969	2589
2004	424	1852	4625	4024	4706	2632	4207	4033	877
649	2230	1604	2467	3432	4385	4746	2504	4106	544
4912	212	4569	4770	4266	4363	815	2118	4644	2200
2154	4866	4231	3438	1263	3972	1752	1650	815	1252
4244	4099	3128	2398	2412	1064	1848	3405	1303	1811
4009	2062	4822	900	2357	3759	3187	4958	2617	2518
3891	4406	4053	4820	2202	4229	1870	22	4181	83
2252	1620	940	4079	1007	3329	284	1131	4452	4763
360	2331	1961	4379	1709	382	3719	171	1218	1418
3967	4823	884	17	1750	3987	4379	4203	3985	3957
2458	442	2839	4175	2478	2237	4298	4693	749	232
609	4494	3779	3325	3460	1909	1713	800	3207	779
2468	3875	2053	2127	3821	146	2799	2171	1424	3687
1594	335	1301	4632	1752	3182	1517	3243	4877	1572
1259	3746	622	884	1351	486	3318	4301	3689	4454
3751	4158	2895	3150	3153	1207	4820	153	797	3580
736	2912	3261	3326	652	3020	3059	2821	4408	3897
4265	3034	1651	1094	3411	1924	2711	693	1700	3765
4196	2620	1276	3469	4394	2669	2049	4444	2739	753
1593	2491	732	4489	85	1838	1478	512	3852	1365
1577	989	3736	695	3590	620	291	2687	2146	1277
383	2738	1735	1158	1763	288	1104	232	1609	1003
3744	3319	4748	1181	615	2439	4964	2366	1950	1891
787	561	2569	1323	1540	2618	4274	896	1636	4697
4307	3014	2142	2756	4473	4655	1008	942	4686	3950
1445	4774	3837	2458	2776	4127	2480	84	3054	4314
4910	2372	3346	4115	1794	538	2993	3086	2492	3625
4907	3434	3639	1992	1759	321	3431	3731	4232	2935
1350	4610	3979	78	213	96	1136	932	777	2603
195	3755	1258	3917	2882	2886	3612	2819	3274	3571
3237	807	2037	4262	4423	1406	4399	3877	4210	294
2556	969	4619	3404	1469	1470	2371	1190	4014	1455
3902	1735	4572	464	3489	2318	1808	4036	714	3104
2380	3819	2843	1231	4530	395	1184	4463	4446	4432
3288	4450	752	3207	3064	453	2955	4392	1737	1227
500	4335	4459	4188	1267	849	2942	1739	529	1903
3194	3034	2610	2075	1890	4092	3122	2398	433	354
3170	3613	1379	945	1787	945	330	1280	4760	3639
989	3070	2407	4004	1433	2895	252	4894	1796	3122
1175	4683	4800	884	3241	3096	4199	2152	4621	111
